,MAC Address,FSCT-1,FSCT-2,FSCT-3,FSCT-4,FSCT-5,FSCT-6,FSCT-7,FSCT-8,FSCT-9,FSCT-10,FSCT-11,FSCT-12,FSCT-13,Label
134,0a:13:1e:cd:f7:42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,iPhone12_M
135,0a:13:e2:ac:65:9d,0.0,0.056066037,0.100316048,0.140537024,0.187873126,0.210253001,0.274357081,0.317187071,1.0,1.0,0.425734997,1.0,1.0,XiaomiRedmiNote9S_T
136,0a:15:ab:98:1b:ea,0.0,0.022589922,0.040401936,1.0,1.0,0.097354889,1.0,1.0,0.162458897,0.204442978,0.221951008,0.240861893,0.258255959,GooglePixel3A_V
137,0a:16:e6:87:e6:33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,iPhone12_M
138,0a:1e:17:95:14:b8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,S21Ultra_M
139,0a:2c:88:8a:70:f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
140,0a:48:4f:b1:52:3b,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
141,0a:4c:69:37:b5:98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_M
142,0a:4d:2e:a8:17:bb,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
143,0a:60:d1:8d:64:59,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
144,0a:6a:09:28:18:25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
145,0a:70:60:1b:20:02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
146,0a:73:bf:93:1e:02,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_M
147,0a:74:80:2f:cd:fa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,iPhone11_F
148,0a:76:fa:e9:85:07,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
149,0a:78:a6:ca:ca:d3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_M
150,0a:7a:c4:5c:7a:a9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
151,0a:8b:9a:51:47:e9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
152,0a:8b:ea:f2:5e:26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_C
153,0a:97:69:ed:d1:7a,0.0,0.062168121,0.12036109,0.188470125,0.252668142,0.290571928,1.0,0.375836134,1.0,1.0,0.546378136,1.0,1.0,OnePlusNord_O
154,0a:9c:46:e0:1e:ec,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone11_C
155,0a:aa:a3:c4:ec:85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone11_B
156,0a:b3:d1:2b:29:3d,0.0,1.0,1.0,1.0,1.0,0.234205007,1.0,1.0,1.0,1.0,0.46401596,1.0,1.0,S21Ultra_M
157,0a:bd:52:76:df:52,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_M
